"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-01","-27.6",",,s","-22.4",",,s","-31.8",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-02","-25.5",",,s","-21.4",",,s","-30.9",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-03","-24.6",",,s","-20.0",",,s","-29.0",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-04","-23.2",",,s","-17.7",",,s","-29.7",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-05","-19.2",",,s","-16.7",",,s","-23.3",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-06","-16.3",",,s","-14.5",",,s","-18.1",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-07","-12.1",",,s","-9.5",",,s","-14.9",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-08","-12.3",",,s","-8.8",",,s","-14.5",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-09","-16.1",",,s","-12.1",",,s","-20.8",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-10","-19.6",",,s","-14.9",",,s","-24.6",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-11","-21.5",",,s","-17.9",",,s","-25.3",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-12","-23.8",",,s","-18.6",",,s","-28.7",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-13","-24.4",",,s","-19.7",",,s","-29.1",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-14","-22.9",",,s","-16.9",",,s","-28.4",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-15","-22.4",",,s","-17.0",",,s","-28.9",",,s"
"CHM00050953","HARBIN, CH","45.75","126.767","143.0","2010-01-16","-22.2",",,s","-16.4",",,s","-26.1",",,s"
